C,1715,1773619956.26
T,1715,0
C,21118,1773620421.12
T,21118,0
C,21119,1773620743.66
T,21119,0
C,2655,1773621334.98
C,2655,1773621918.80
T,2655,0
C,4638,1773622815.94
T,4638,0
C,2790,1773622968.97
C,21377,1773625121.15
T,21377,0
C,21251,1773625186.89
T,21251,0
C,8647,1773625387.34
C,21307,1773626857.80
T,21307,0
C,7491,1773626908.47
T,7491,0
C,21069,1773626954.51
C,9909,1773627033.96
T,9909,0
C,21069,1773627173.86
T,21069,0
C,9929,1773627290.28
C,9929,1773627421.59
T,9929,0
C,10084,1773627565.69
T,10084,0
C,10125,1773627884.70
T,10125,0
C,9210,1773628440.35
T,9210,0
C,2790,1773628466.95
T,2790,0
C,10028,1773628666.95
T,10028,0
C,10690,1773630571.64
T,10690,0
C,14752,1773630685.98
C,10975,1773631465.14
T,10975,0
C,16730,1773634061.41
T,16730,0
C,21702,1773634329.54
T,21702,0
C,18136,1773634542.47
T,18136,0
C,14801,1773635222.33
T,14801,0
C,18695,1773635359.08
C,18695,1773635585.97
T,18695,0
C,18792,1773635970.57
T,18792,0
C,18981,1773636556.15
T,18981,0
C,19748,1773636747.12
C,21274,1773636853.77
T,21274,0
C,20487,1773636962.92
T,20487,0
C,14775,1773637027.53
T,14775,0
C,20782,1773637472.29
T,20782,0
C,20784,1773637573.83
T,20784,0
C,6201,1773639499.40
T,6201,0
C,21583,1773639800.23
T,21583,0
C,20491,1773640059.35
T,20491,0
C,10044,1773641014.05
T,10044,0
C,21962,1773641138.26
T,21962,0
C,22101,1773641300.54
T,22101,0
C,22199,1773655826.06
T,22199,0
C,21596,1773663517.13
T,21596,0
C,20791,1773663571.76
T,20791,0
C,6263,1773663599.12
T,6263,0
C,28066,1773663933.44
T,28066,0
C,19748,1773664492.57
T,19748,0
C,6320,1773664559.15
T,6320,0
C,18921,1773664817.09
T,18921,0
C,22078,1773665258.76
T,22078,0
C,7865,1773665421.49
T,7865,0
C,9593,1773665456.13
T,9593,0
C,1868,1773665471.64
T,1868,0
C,2341,1773665565.79
T,2341,0
C,10077,1773666050.54
T,10077,0
C,10057,1773752770.95
T,10057,0
C,6422,1773752827.34
T,6422,0
C,10153,1773753236.36
T,10153,0
C,10011,1773753325.46
T,10011,0
C,10337,1773753464.23
C,61603,1773753497.19
C,11099,1773753532.80
C,58486,1773753657.96
C,60929,1773753730.33
C,61492,1773753742.81
T,10337,0
C,10062,1773753849.34
C,60929,1773753884.17
C,18077,1773754608.01
T,10062,0
C,33454,1773754698.93
C,9948,1773754705.64
T,33454,0
C,9249,1773754756.66
C,16441,1773754758.81
T,16441,0
C,8138,1773754777.69
T,8138,0
C,11039,1773754793.02
T,11039,0
T,9948,0
C,3144,1773754808.86
C,9991,1773754820.29
T,3144,0
C,2028,1773754830.65
T,2028,0
C,7395,1773754890.41
T,7395,0
C,9874,1773754904.64
T,9874,0
C,9942,1773754958.65
T,9942,0
C,26788,1773754973.80
T,26788,0
C,2722,1773754999.71
T,9991,0
T,2722,0
C,9722,1773755028.05
C,18127,1773755041.15
T,18127,0
C,6259,1773755054.76
T,6259,0
T,9722,0
C,11513,1773755095.54
C,2731,1773755144.57
T,2731,0
T,11513,0
C,58464,1773755199.27
C,10041,1773755211.52
T,10041,0
C,11590,1773755252.67
T,58464,0
C,67844,1773755420.04
T,11590,0
C,10106,1773755507.07
T,67844,0
C,11460,1773755583.45
T,11460,0
C,10736,1773755673.98
T,10106,0
C,9941,1773755685.37
C,10736,1773756027.62
T,9941,0
T,10736,0
C,11618,1773756172.54
T,11618,0
C,11592,1773756195.11
T,11592,0
C,9829,1773756224.51
